speech_type,proceeding,date,surname,country,name,position
General debate,A_72_PV.10_E, 2017-09-20 ,Vargas Maldonado,Dominican Republic,Miguel  Vargas Maldonado, Minister for Foreign Affairs of the Dominican Republic
General debate,A_72_PV.10_E, 2017-09-20 ,Bourita,Morocco,Nasser   Bourita, Minister for Foreign Affairs and Cooperation of the Kingdom of Morocco
General debate,A_72_PV.10_E, 2017-09-20 ,Bainimarama,Fiji,Josaia V.  Bainimarama, Prime Minister of the Republic of Fiji 
General debate,A_72_PV.10_E, 2017-09-20 ,Al-Sabah,Kuwait,Sabah Khalid Al-Hamad  Al-Sabah, Prime Minister of the State of Kuwait 
General debate,A_72_PV.10_E, 2017-09-20 ,Van Thio,Myanmar,U Henry   Van Thio, Vice-President of the Republic of the Union of Myanmar 
General debate,A_72_PV.10_E, 2017-09-20 ,Waqa,Nauru,Baron Divavesi  Waqa, President of the Republic of Nauru 
General debate,A_72_PV.10_E, 2017-09-20 ,Serraj,Libya,Faiez Mustafa  Serraj, President of the Presidency Council of the Government of National Accord of Libya 
General debate,A_72_PV.10_E, 2017-09-20 ,Mswati III,Swaziland,1968-   King of Swaziland Mswati III, head of state of the kingdom of swaziland 
General debate,A_72_PV.10_E, 2017-09-20 ,Sall,Senegal,Macky  Sall, President of the Republic of Senegal 
General debate,A_72_PV.10_E, 2017-09-20 ,Rajaonarimampianina Rakotoarimanana,Madagascar,Hery Martial  Rajaonarimampianina Rakotoarimanana, President of the Republic of Madagascar 
General debate,A_72_PV.10_E, 2017-09-20 ,Mutharika,Malawi,Arthur Peter  Mutharika, President of the Republic of Malawi 
General debate,A_72_PV.10_E, 2017-09-20 ,Iohannis,Romania,Klaus Werner  Iohannis, President of Romania 
General debate,A_72_PV.11_E, 2017-09-21 ,Hadi,Yemen,Abdrabuh Mansur  Hadi, President of the Republic of Yemen 
General debate,A_72_PV.11_E, 2017-09-21 ,Bongo Ondimba,Gabon,Ali  Bongo Ondimba, President of the Gabonese Republic 
General debate,A_72_PV.11_E, 2017-09-21 ,Akufo-Addo,Ghana,Nana   Akufo-Addo,President of the Republic of Ghana
General debate,A_72_PV.11_E, 2017-09-21 ,KaboreÃÅ,Burkina Faso,Roch Marc Christian  KaboreÃÅ,President of Faso and President of the Council of Ministers of Burkina Faso
General debate,A_72_PV.11_E, 2017-09-21 ,Anastasiades,Cyprus,Nicos  Anastasiades, President of the Republic of Cyprus
General debate,A_72_PV.11_E, 2017-09-21 ,Aoun,Lebanon,Michel  Aoun, President of the Lebanese Republic 
General debate,A_72_PV.11_E, 2017-09-21 ,Moon,Republic of Korea,Jae-in  Moon, President of the Republic of Korea 
General debate,A_72_PV.11_E, 2017-09-21 ,Mo√Øse,Haiti,Jovenel  Mo√Øse, President of the Republic of Haiti 
General debate,A_72_PV.11_E, 2017-09-21 ,Vucic,Serbia,Aleksandar  Vucic,President of the Republic of Serbia
General debate,A_72_PV.12_E, 2017-09-21 ,Caso,Mexico,Luis Videgaray  Caso, Minister for Foreign Affairs of the United Mexican States
General debate,A_72_PV.12_E, 2017-09-21 ,Wang,China,Yi  Wang, Minister for Foreign Affairs of the People‚Äôs Republic of China
General debate,A_72_PV.12_E, 2017-09-21 ,Lavrov,Russian Federation,Sergei Viktorovich  Lavrov,Minister for Foreign Affairs of the Russian Federation
General debate,A_72_PV.12_E, 2017-09-21 ,Gabriel,Germany,Sigmar  Gabriel, Vice-Chancellor and Federal Minister for Foreign Affairs of the Federal Republic of Germany
General debate,A_72_PV.12_E, 2017-09-21 ,Cerar,Slovenia,Miro  Cerar, Prime Minister of the Republic of Slovenia 
General debate,A_72_PV.12_E, 2017-09-21 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi, Prime Minister and Minister for Foreign Affairs and Trade of the Independent State of Samoa 
General debate,A_72_PV.12_E, 2017-09-21 ,Trudeau,Canada,Justin  Trudeau, Prime Minister of Canada 
General debate,A_72_PV.12_E, 2017-09-21 ,Plenkovic,Croatia,Andrej  Plenkovic,Prime Minister of the Republic of Croatia
General debate,A_72_PV.12_E, 2017-09-21 ,Masisi,Botswana,Mokgweetsi Eric Keabetswe  Masisi, Vice-President of the Republic of Botswana 
General debate,A_72_PV.12_E, 2017-09-21 ,Faure,Seychelles,Danny  Faure, President of the Republic of Seychelles 
General debate,A_72_PV.13_E, 2017-09-21 ,Sopoaga,Tuvalu,Enele S.  Sopoaga, Prime Minister of Tuvalu 
General debate,A_72_PV.13_E, 2017-09-21 ,Abdullah II,Jordan,1962-   King of Jordan Abdullah II, crown prince of the hashemite kingdom of jordan 
General debate,A_72_PV.13_E, 2017-09-21 ,Kalla,Indonesia,M. Jusuf  Kalla, Vice-President of the Republic of Indonesia 
General debate,A_72_PV.13_E, 2017-09-21 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe, President of the Republic of Zimbabwe 
General debate,A_72_PV.13_E, 2017-09-21 ,Carvalho,Sao Tome and Principe,Evaristo do Esp√≠rito Santo  Carvalho, President of the Democratic Republic of Sao Tome and Principe 
General debate,A_72_PV.13_E, 2017-09-21 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo, President of the Republic of Equatorial Guinea 
General debate,A_72_PV.13_E, 2017-09-21 ,Remengesau,Palau,Thomas Esang  Remengesau, President of the Republic of Palau
General debate,A_72_PV.13_E, 2017-09-21 ,Assoumani,Comoros,Azali  Assoumani, President of the Union of the Comoros 
General debate,A_72_PV.13_E, 2017-09-21 ,SaÃÅnchez CereÃÅn,El Salvador,Salvador  SaÃÅnchez CereÃÅn,President of the Republic of El Salvador
General debate,A_72_PV.14_E, 2017-09-21 ,Tornaes,Denmark,Ulla  Tornaes,Minister for Development Cooperation of the Kingdom of Denmark
General debate,A_72_PV.14_E, 2017-09-21 ,Asselborn,Luxembourg,Jean  Asselborn, Minister of Foreign and European Affairs and Minister of Immigration and Asylum of the Grand Duchy of Luxembourg
General debate,A_72_PV.14_E, 2017-09-21 ,Dastis,Spain,Alfonso  Dastis, Minister for Foreign Affairs and Cooperation of the Kingdom of Spain
General debate,A_72_PV.14_E, 2017-09-21 ,Abdrakhmanov,Kazakhstan,Kairat  Abdrakhmanov, Minister for Foreign Affairs of the Republic of Kazakhstan
General debate,A_72_PV.14_E, 2017-09-21 ,Makei,Belarus,Vladimir  Makei, Minister for Foreign Affairs of the Republic of Belarus
General debate,A_72_PV.14_E, 2017-09-21 ,Klassou,Togo,Selom Komi   Klassou, Prime Minister of the Togolese Republic 
General debate,A_72_PV.14_E, 2017-09-21 ,Embalo,Guinea-Bissau,Umaro Sissoco  Embalo,Prime Minister of the Republic of Guinea-Bissau
General debate,A_72_PV.14_E, 2017-09-21 ,Tabimasmas,Vanuatu,Charlot Salwai  Tabimasmas, Prime Minister of the Republic of Vanuatu 
General debate,A_72_PV.14_E, 2017-09-21 ,Hasina,Bangladesh,Sheikh  Hasina, Prime Minister of the People‚Äôs Republic of Bangladesh 
General debate,A_72_PV.14_E, 2017-09-21 ,Jugnauth,Mauritius,Pravind Kumar  Jugnauth, Prime Minister and Minister for Home Affairs
General debate,A_72_PV.14_E, 2017-09-21 ,Abbasi,Pakistan,Shahid Khaqan  Abbasi, Prime Minister of the Islamic Republic of Pakistan 
General debate,A_72_PV.14_E, 2017-09-21 ,Browne,Antigua and Barbuda,Gaston Alphonso  Browne, Prime Minister of Antigua and Barbuda 
General debate,A_72_PV.14_E, 2017-09-21 ,Kvirikashvili,Georgia,Giorgi  Kvirikashvili, Prime Minister of Georgia 
General debate,A_72_PV.15_E, 2017-09-22 ,Pham,Viet Nam,Binh Minh  Pham, Deputy Prime Minister of Viet Nam
General debate,A_72_PV.15_E, 2017-09-22 ,Correia e Silva,Cabo Verde,Jos√© Ulisses  Correia e Silva,Prime Minister and Minister for Reform of the Republic of Cabo Verde
General debate,A_72_PV.15_E, 2017-09-22 ,Muscat,Malta,Joseph  Muscat, Prime Minister of the Republic of Malta 
General debate,A_72_PV.15_E, 2017-09-22 ,Rama,Albania,Edi  Rama, Prime Minister of the Republic of Albania 
General debate,A_72_PV.15_E, 2017-09-22 ,Tobgay,Bhutan,Tshering  Tobgay, Prime Minister of the Kingdom of Bhutan 
General debate,A_72_PV.15_E, 2017-09-22 ,Michel,Belgium,Charles  Michel, Prime Minister of the Kingdom of Belgium 
General debate,A_72_PV.15_E, 2017-09-22 ,Filip,Republic of Moldova,Pavel  Filip, Prime Minister of the Republic of Moldova 
General debate,A_72_PV.15_E, 2017-09-22 ,Touadera,Central African Republic,Faustin Archange  Touadera, President of the Central African Republic 
General debate,A_72_PV.15_E, 2017-09-22 ,Maamau,Kiribati,Taneti  Maamau," President, Head of Government and Minister for Foreign Affairs and Immigration of the Republic of Kiribati"
General debate,A_72_PV.15_E, 2017-09-22 ,Biya,Cameroon,Paul  Biya, President of the Republic of Cameroon into 
General debate,A_72_PV.16_E, 2017-09-22 ,Jhinaoui,Tunisia,Khemaies  Jhinaoui, Minister for Foreign Affairs of the Republic of Tunisia
General debate,A_72_PV.16_E, 2017-09-22 ,WallstroÃàm,Sweden,Margot  WallstroÃàm,Minister for Foreign Affairs of Sweden
General debate,A_72_PV.16_E, 2017-09-22 ,Thordarson,Iceland,Gudlaugur Thor  Thordarson,Minister for Foreign Affairs of the Republic of Iceland
General debate,A_72_PV.16_E, 2017-09-22 ,Mohamed,Kenya,Amina Chawahir  Mohamed, Cabinet Secretary for Foreign Affairs and International Trade of the Republic of Kenya
General debate,A_72_PV.16_E, 2017-09-22 ,Messahel,Algeria,Abdelkader  Messahel, Minister for Foreign Affairs of Algeria
General debate,A_72_PV.16_E, 2017-09-22 ,SzijjaÃÅrtoÃÅ,Hungary,PeÃÅter  SzijjaÃÅrtoÃÅ,Minister for Foreign Affairs and Trade of Hungary
General debate,A_72_PV.16_E, 2017-09-22 ,Bishop,Australia,Julie  Bishop, Minister for Foreign Affairs of the Commonwealth of Australia
General debate,A_72_PV.16_E, 2017-09-22 ,Pramudwinai,Thailand,Don  Pramudwinai, Minister for Foreign Affairs of the Kingdom of Thailand
General debate,A_72_PV.16_E, 2017-09-22 ,RodriÃÅguez Parrilla,Cuba,Bruno  RodriÃÅguez Parrilla, Minister for Foreign Affairs of the Republic of Cuba
General debate,A_72_PV.16_E, 2017-09-22 ,Chastanet,Saint Lucia,Allen Michael  Chastanet, Prime Minister and Minister for Finance
General debate,A_72_PV.17_E, 2017-09-22 ,Sokhonn,Cambodia,Prak  Sokhonn, Senior Minister and Minister for Foreign Affairs and International Cooperation of the Kingdom of Cambodia
General debate,A_72_PV.17_E, 2017-09-22 ,Straker,Saint Vincent and the Grenadines,Louis  Straker, Deputy Prime Minister and Minister International Trade and Regional Integration of Saint Vincent and the Grenadines
General debate,A_72_PV.17_E, 2017-09-22 ,Thabane,Lesotho,Thomas Motsoahae  Thabane, Prime Minister of the Kingdom of Lesotho 
General debate,A_72_PV.17_E, 2017-09-22 ,Khayre,Somalia,Hassan Ali  Khayre, Prime Minister of the Federal Republic of Somalia 
General debate,A_72_PV.17_E, 2017-09-22 ,Petit,Andorra,Antoni MartiÃÅ  Petit, Head of Government of the Principality of Andorra 
General debate,A_72_PV.17_E, 2017-09-22 ,Desalegn,Ethiopia,Hailemariam  Desalegn, Prime Minister of the Federal Democratic Republic of Ethiopia 
General debate,A_72_PV.17_E, 2017-09-22 ,Zaev,The former Yugoslav Republic of Macedonia,Zoran  Zaev, President of the Government of the former Yugoslav Republic of Macedonia 
General debate,A_72_PV.17_E, 2017-09-22 ,Sogavare,Solomon Islands,Manasseh  Sogavare, Prime Minister of Solomon Islands 
General debate,A_72_PV.17_E, 2017-09-22 ,Tupou VI,Tonga,King of Tonga  Tupou VI, King of the Kingdom of Tonga
General debate,A_72_PV.18_E, 2017-09-22 ,Kamara,Sierra Leone,Samura M.W.  Kamara, Minister for Foreign Affairs and International Cooperation of the Republic of Sierra Leone
General debate,A_72_PV.18_E, 2017-09-22 ,Aman,Malaysia,Anifah  Aman, Minister for Foreign Affairs of Malaysia
General debate,A_72_PV.18_E, 2017-09-22 ,Seng,Brunei Darussalam,Pehin Lim Jock  Seng, Minister at the Prime Minister‚Äôs Office and Second Minister for Foreign Affairs and Trade of Brunei Darussalam
General debate,A_72_PV.18_E, 2017-09-22 ,Agbenonci,Benin,AureÃÅlien  Agbenonci, Minister for Foreign Affairs and Cooperation of the Republic of Benin
General debate,A_72_PV.18_E, 2017-09-22 ,Munkh-Orgil,Mongolia,Tsend  Munkh-Orgil, Minister for Foreign Affairs of Mongolia
General debate,A_72_PV.18_E, 2017-09-22 ,Al Nahyan,United Arab Emirates,Abdullah bin Zayed  Al Nahyan, Minister for Foreign Affairs and International Cooperation of the United Arab Emirates
General debate,A_72_PV.18_E, 2017-09-22 ,McClean,Barbados,Maxine Pamela Ometa   McClean, minister for foreign affairs and foreign trade of barbados
General debate,A_72_PV.18_E, 2017-09-22 ,Kotzias,Greece,Nikos  Kotzias, Minister for Foreign Affairs of the Hellenic Republic
General debate,A_72_PV.18_E, 2017-09-22 ,Frick,Liechtenstein,Aurelia  Frick, Minister for Foreign Affairs
General debate,A_72_PV.18_E, 2017-09-22 ,Renzi,San Marino,Nicola  Renzi, Minister for Foreign and Political Affairs and Justice of the Republic of San Marino
General debate,A_72_PV.18_E, 2017-09-22 ,Elrington,Belize,Wilfred P.  Elrington, Attorney General and Minister for Foreign Affairs and Foreign Trade of Belize
General debate,A_72_PV.19_E, 2017-09-23 ,Youssouf,Djibouti,Mahamoud Ali  Youssouf, Minister for Foreign Affairs and International Cooperation of the Republic of Djibouti
General debate,A_72_PV.19_E, 2017-09-23 ,Swaraj,India,Sushma  Swaraj, Minister for External Affairs of the Republic of India
General debate,A_72_PV.19_E, 2017-09-23 ,Skerrit,Dominica,Roosevelt  Skerrit, Prime Minister and Minister for Finance and Public Service of the Commonwealth of Dominica 
General debate,A_72_PV.19_E, 2017-09-23 ,Al-Moualem,Syrian Arab Republic,Walid  Al-Moualem, Deputy Prime Minister and Minister for Foreign Affairs and Expatriates of the Syrian Arab Republic
General debate,A_72_PV.19_E, 2017-09-23 ,Deuba,Nepal,Sher Bahadur  Deuba, Prime Minister of the Federal Democratic Republic of Nepal 
General debate,A_72_PV.19_E, 2017-09-23 ,O'Neill,Papua New Guinea,Peter  O'Neill,Prime Minister and Minister for the Autonomous Region of Bougainville of the Independent State of Papua New Guinea
General debate,A_72_PV.19_E, 2017-09-23 ,George,Micronesia ,Yosiwo  George, Vice-President of the Federated States of Micronesia 
General debate,A_72_PV.19_E, 2017-09-23 ,Gai,South Sudan,Taban Deng  Gai, First Vice-President of the Republic of South Sudan 
General debate,A_72_PV.19_E, 2017-09-23 ,Kabila Kabange,Democratic Republic of the Congo,Joseph  Kabila Kabange, President of the Democratic Republic of the Congo 
General debate,A_72_PV.20_E, 2017-09-23 ,Al-Jafari,Iraq,Ibrahim Abdulkarim  Al-Jafari,Minister for Foreign Affairs of the Republic of Iraq
General debate,A_72_PV.20_E, 2017-09-23 ,Ri,Democratic People's Republic of Korea,Yong Ho  Ri,Minister for Foreign Affairs of the Democratic Peopleís Republic of Korea
General debate,A_72_PV.20_E, 2017-09-23 ,Coveney,Ireland,Simon  Coveney, Minister for Foreign Affairs and Trade with responsibility for Brexit of Ireland
General debate,A_72_PV.20_E, 2017-09-23 ,Kommasith,Lao People's Democratic Republic,Saleumxay  Kommasith, Minister for Foreign Affairs of the Lao People‚Äôs Democratic Republic
General debate,A_72_PV.20_E, 2017-09-23 ,Al-Khalifa,Bahrain,Shaikh Khalid Bin Ahmed bin Mohammed   Al-Khalifa, Minister for Foreign Affairs of the Kingdom of Bahrain
General debate,A_72_PV.20_E, 2017-09-23 ,Balakrishnan,Singapore,Vivian  Balakrishnan, Minister for Foreign Affairs of the Republic of Singapore
General debate,A_72_PV.20_E, 2017-09-23 ,Cayetano,Philippines,Alan Peter S.  Cayetano, Secretary for Foreign Affairs of the Republic of the Philippines
General debate,A_72_PV.20_E, 2017-09-23 ,Henfield,Bahamas,Darren Allan  Henfield, Minister for Foreign Affairs and Immigration of the Commonwealth of the Bahamas
General debate,A_72_PV.20_E, 2017-09-23 ,Al-Jubeir,Saudi Arabia,Adel Bin Ahmad  Al-Jubeir, Minister for Foreign Affairs of the Kingdom of Saudi Arabia
General debate,A_72_PV.21_E, 2017-09-23 ,Nyamitwe,Burundi,Alain AimeÃÅ  Nyamitwe, Minister for Foreign Affairs and International Cooperation of the Republic of Burundi
General debate,A_72_PV.21_E, 2017-09-23 ,Asim,Maldives,Mohamed  Asim, Minister for Foreign Affairs of the Republic of Maldives
General debate,A_72_PV.21_E, 2017-09-23 ,Johnson Smith,Jamaica,Kamina  Johnson Smith, Minister for Foreign Affairs and Foreign Trade of Jamaica
General debate,A_72_PV.21_E, 2017-09-23 ,Taha,Chad,Hissein Brahim  Taha, Minister for Foreign Affairs
General debate,A_72_PV.21_E, 2017-09-23 ,Moses,Trinidad and Tobago,Dennis D.  Moses, Minister for Foreign and CARICOM Affairs of the Republic of Trinidad and Tobago
General debate,A_72_PV.21_E, 2017-09-23 ,Abdullah,Oman,Yousef bin al-Alawi bin  Abdullah,Minister Responsible for Foreign Affairs of the Sultanate of Oman
General debate,A_72_PV.21_E, 2017-09-23 ,Silk,Marshall Islands,John M.  Silk, Minister for Foreign Affairs of the Republic of the Marshall Islands
General debate,A_72_PV.21_E, 2017-09-23 ,Ghandour,Sudan,Ibrahim Ahmed  Ghandour, Minister for Foreign Affairs of the the Republic of the Sudan
General debate,A_72_PV.21_E, 2017-09-23 ,Pollack-Beigle,Suriname,Yldiz  Pollack-Beigle,Minister for Foreign Affairs of the Republic of Suriname
General debate,A_72_PV.21_E, 2017-09-23 ,Mohammed,Eritrea,Osman Saleh   Mohammed, Minister for Foreign Affairs of the State of Eritrea
General debate,A_72_PV.22_E, 2017-09-23 ,Brantley,Saint Kitts and Nevis,Mark Anthony  Brantley, Minister for Foreign Affairs and Aviation of Saint Kitts and Nevis
General debate,A_72_PV.22_E, 2017-09-23 ,Mahiga,United Republic of Tanzania,Augustine P.  Mahiga, Minister for Foreign Affairs
General debate,A_72_PV.22_E, 2017-09-23 ,Nimrod,Grenada,Elvin  Nimrod, Minister for Foreign Affairs
General debate,A_72_PV.22_E, 2017-09-23 ,Yacoubou,Niger,Ibrahim   Yacoubou, Minister for Foreign Affairs
General debate,A_72_PV.23_E, 2017-09-25 ,Lajcak,UN,Miroslav  Lajcak,None
General debate,A_72_PV.23_E, 2017-09-25 ,Rubiales de Chamorro,Nicaragua,MariÃÅa  Rubiales de Chamorro,Chair of the Delegation of the Republic of Nicaragua
General debate,A_72_PV.23_E, 2017-09-25 ,Pires,Timor-Leste,Maria Helena Lopes de Jesus  Pires, Chair of the Delegation of the Democratic Republic of Timor-Leste to the United Nations
General debate,A_72_PV.23_E, 2017-09-25 ,Hattrem,Norway,Tore  Hattrem, Chair of the Delegation of the Kingdom of Norway
General debate,A_72_PV.23_E, 2017-09-25 ,Arreaza,Venezuela ,Jorge  Arreaza, Minister for Foreign Affairs of the Bolivarian Republic of Venezuela
General debate,A_72_PV.23_E, 2017-09-25 ,Meza-Cuadra VelaÃÅsquez,Peru,Gustavo Adolfo  Meza-Cuadra VelaÃÅsquez,None
General debate,A_72_PV.23_E, 2017-09-25 ,Ataeva,Turkmenistan,Aksoltan T.  Ataeva, Chair of the Delegation of Turkmenistan
General debate,A_72_PV.23_E, 2017-09-25 ,Hawke,New Zealand,Craig John  Hawke, Chair of the Delegation of New Zealand
General debate,A_72_PV.23_E, 2017-09-25 ,Martins,Angola,Ismael AbraaÃÉo Gaspar  Martins, Chair of the Delegation of the Republic of Angola
General debate,A_72_PV.23_E, 2017-09-25 ,Gumende,Mozambique,AntoÃÅnio  Gumende, Chair of the Delegation of the Republic of Mozambique
General debate,A_72_PV.23_E, 2017-09-25 ,Gallagher,Holy See,Paul Richard  Gallagher, Secretary for Relations with States of the Holy See
General debate,A_72_PV.23_E, 2017-09-25 ,Nin Novoa,Uruguay,Rodolfo  Nin Novoa, Minister for Foreign Affairs of the Eastern Republic of Uruguay
General debate,A_72_PV.4_E, 2017-09-19 ,Netanyahu,Israel,Binyamin  Netanyahu, Prime Minister of the State of Israel 
General debate,A_72_PV.4_E, 2017-09-19 ,Erdogan,Turkey,Recep Tayyip  Erdogan,President of the Republic of Turkey
General debate,A_72_PV.4_E, 2017-09-19 ,Al-Thani,Qatar,Sheikh   Tamim bin Hamad Al-Thani, Amir of the State of Qatar 
General debate,A_72_PV.4_E, 2017-09-19 ,Grybauskaite,Lithuania,Dalia  Grybauskaite,President of the Republic of Lithuania
General debate,A_72_PV.4_E, 2017-09-19 ,Lungu,Zambia,Edgar Chagwa  Lungu, President of the Republic of Zambia 
General debate,A_72_PV.4_E, 2017-09-19 ,Rahmon,Tajikistan,Emomali   Rahmon, President of the Republic of Tajikistan 
General debate,A_72_PV.4_E, 2017-09-19 ,Santos CalderoÃÅn,Colombia,Juan Manuel  Santos CalderoÃÅn,President of the Republic of Colombia
General debate,A_72_PV.4_E, 2017-09-19 ,Macron,France,Emmanuel  Macron, President of the French Republic First
General debate,A_72_PV.4_E, 2017-09-19 ,Sirleaf,Liberia,Ellen Johnson  Sirleaf, President of the Republic of Liberia 
General debate,A_72_PV.5_E, 2017-09-19 ,Museveni,Uganda,Yoweri  Museveni, President of the Republic of Uganda 
General debate,A_72_PV.5_E, 2017-09-19 ,SoliÃÅs Rivera,Costa Rica,Luis Guillermo  SoliÃÅs Rivera, President of the Republic of Costa Rica 
General debate,A_72_PV.5_E, 2017-09-19 ,Sargsyan,Armenia,Serzh  Sargsyan, President of the Republic of Armenia 
General debate,A_72_PV.5_E, 2017-09-19 ,Mirziyoyev,Uzbekistan,Shavkat  Mirziyoyev, President of the Republic of Uzbekistan 
General debate,A_72_PV.5_E, 2017-09-19 ,Al-Sisi,Egypt,Abdel Fattah  Al-Sisi, President of the Arab Republic of Egypt 
General debate,A_72_PV.5_E, 2017-09-19 ,Duda,Poland,Andrzej  Duda, President of the Republic of Poland 
General debate,A_72_PV.5_E, 2017-09-19 ,Albert II,Monaco,Prince of Monaco  Albert II,Prince
General debate,A_72_PV.5_E, 2017-09-19 ,Keita,Mali,Ibrahim Boubacar  Keita, President of the Republic of Mali 
General debate,A_72_PV.6_E, 2017-09-19 ,Bih,Mauritania,Isselkou Ould Ahmed Izid  Bih, Minister for Foreign Affairs and Cooperation of the Islamic Republic of Mauritania
General debate,A_72_PV.6_E, 2017-09-19 ,Kurz,Austria,Sebastian  Kurz, Federal Minister for Europe
General debate,A_72_PV.6_E, 2017-09-19 ,HernaÃÅndez Alvarado,Honduras,Juan Orlando  HernaÃÅndez Alvarado, President of the Republic of Honduras 
General debate,A_72_PV.6_E, 2017-09-19 ,Morales Ayma,Bolivia ,Evo  Morales Ayma, Constitutional President of the Plurinational State of Bolivia 
General debate,A_72_PV.6_E, 2017-09-19 ,Barrow,Gambia,Adama  Barrow, President of the Republic of The Gambia 
General debate,A_72_PV.6_E, 2017-09-19 ,Ghani,Afghanistan,Ashraf  Ghani, President of the Islamic Republic of Afghanistan 
General debate,A_72_PV.6_E, 2017-09-19 ,Morales,Guatemala,Jimmy  Morales, President of the Republic of Guatemala 
General debate,A_72_PV.6_E, 2017-09-19 ,Kaljulaid,Estonia,Kersti  Kaljulaid, President of the Republic of Estonia 
General debate,A_72_PV.6_E, 2017-09-19 ,Sirisena,Sri Lanka,Sirisena P. Gamaralalage Maithreepala  Sirisena, President of the Democratic Socialist Republic of Sri Lanka 
General debate,A_72_PV.7_E, 2017-09-20 ,Radev,Bulgaria,Rumen  Radev, President of the Republic of Bulgaria 
General debate,A_72_PV.7_E, 2017-09-20 ,Rouhani,Iran ,Hassan  Rouhani, President of the Islamic Republic of Iran 
General debate,A_72_PV.7_E, 2017-09-20 ,Cartes Jara,Paraguay,Horacio Manuel  Cartes Jara, President of the Republic of Paraguay 
General debate,A_72_PV.7_E, 2017-09-20 ,Kagame,Rwanda,Paul  Kagame, President of the Republic of Rwanda 
General debate,A_72_PV.7_E, 2017-09-20 ,Varela RodriÃÅguez,Panama,Juan Carlos  Varela RodriÃÅguez,President of the Republic of Panama
General debate,A_72_PV.7_E, 2017-09-20 ,Covic,Bosnia and Herzegovina,Dragan  Covic,Chairman of the Presidency of Bosnia and Herzegovina
General debate,A_72_PV.7_E, 2017-09-20 ,Granger,Guyana,David Arthur  Granger, President of the Republic of Guyana 
General debate,A_72_PV.7_E, 2017-09-20 ,Aliyev,Azerbaijan,Ilham Heydar oglu  Aliyev, President of the Republic of Azerbaijan 
General debate,A_72_PV.7_E, 2017-09-20 ,Atambaev,Kyrgyzstan,Almazbek  Atambaev, President of the Kyrgyz Republic 
General debate,A_72_PV.7_E, 2017-09-20 ,NiinistoÃà,Finland,Sauli  NiinistoÃà,President of the Republic of Finland
General debate,A_72_PV.7_E, 2017-09-20 ,Caso,Mexico,Luis Videgaray  Caso, Minister for Foreign Affairs of the United States of Mexico
General debate,A_72_PV.8_E, 2017-09-20 ,May,United Kingdom,Theresa  May, Prime Minister of the United Kingdom of Great Britain and Northern Ireland 
General debate,A_72_PV.8_E, 2017-09-20 ,Gentiloni Silveri,Italy,Paolo  Gentiloni Silveri, President of the Council of Ministers of the Republic of Italy 
General debate,A_72_PV.8_E, 2017-09-20 ,Da Costa,Portugal,Ant√≥nio Lu√≠s Santos   Da Costa, Prime Minister of the Republic of Portugal 
General debate,A_72_PV.8_E, 2017-09-20 ,Abe,Japan,Shinzo  Abe, Prime Minister of Japan 
General debate,A_72_PV.8_E, 2017-09-20 ,Rutte,Netherlands,Mark  Rutte, Prime Minister and Minister for General Affairs of the Kingdom of the Netherlands 
General debate,A_72_PV.8_E, 2017-09-20 ,Tusk,European Council,Donald  Tusk, President of the European Council 
General debate,A_72_PV.8_E, 2017-09-20 ,Abbas,State of Palestine,Mahmoud  Abbas, President of the State of Palestine 
General debate,A_72_PV.8_E, 2017-09-20 ,Poroshenko,Ukraine,Petro  Poroshenko, President of Ukraine 
General debate,A_72_PV.8_E, 2017-09-20 ,Ouattara,CoÃÇte d'Ivoire,Alassane Dramane  Ouattara, President of the Republic of C√¥te d‚ÄôIvoire 
General debate,A_72_PV.9_E, 2017-09-20 ,VujanovicÃÅ,Montenegro,Filip  VujanovicÃÅ,President of Montenegro
General debate,A_72_PV.9_E, 2017-09-20 ,Geingob,Namibia,Hage Gottried  Geingob, President of the Republic of Namibia 
General debate,A_72_PV.9_E, 2017-09-20 ,Zuma,South Africa,Jacob  Zuma, President of the Republic of South Africa 
General debate,A_72_PV.9_E, 2017-09-20 ,Vejonis,Latvia,Raimonds  Vejonis,President of the Republic of Latvia
General debate,A_72_PV.9_E, 2017-09-20 ,Bachelet,Chile,Michelle  Bachelet, President of the Republic of Chile 
General debate,A_72_PV.9_E, 2017-09-20 ,Sassou N'Guesso,Congo,Denis  Sassou N'Guesso,President of the Republic of the Congo
General debate,A_72_PV.9_E, 2017-09-20 ,Michetti Illia,Argentina,Marta Gabriela  Michetti Illia, Vice-President of the Argentine Republic 
General debate,A_72_PV.9_E, 2017-09-20 ,Moreno GarceÃÅs,Ecuador,Lenin  Moreno GarceÃÅs,Constitutional President of the Republic of Ecuador
